mechanism,rep,method,parameter,truth,estimate,se,covered
MAR,55,selection_misspecified,M3_class1,0.2,0.258448781137959,0.05818896985145925,1.0
MAR,55,selection_misspecified,M3_class2,0.85,0.848903943205179,0.03777870390192646,1.0
MAR,55,selection_misspecified,p_class2,0.45,0.4950422031261887,0.04593306861905975,1.0
MAR,55,selection_misspecified,mean_Y1,0.44250000000000006,0.4699999510846938,0.022320394112463476,1.0
MAR,55,selection_misspecified,mean_Y2,0.47500000000000003,0.46282356194859176,0.04287561814170419,1.0
MAR,55,selection_misspecified,mean_Y3,0.49250000000000005,0.5507490054149464,0.037376292893719645,1.0
MAR,55,selection_misspecified,P000,0.28387500000000004,0.260134871688349,0.027578993442306025,1.0
MAR,55,selection_misspecified,P001,0.08925,0.11031611575398279,0.020927567729112872,1.0
MAR,55,selection_misspecified,P010,0.10362500000000001,0.08345409595817112,0.01739423814945028,1.0
MAR,55,selection_misspecified,P011,0.08074999999999999,0.07609496551480321,0.013489465471976464,1.0
MAR,55,selection_misspecified,P100,0.063,0.05203532913124923,0.011410477271224887,1.0
MAR,55,selection_misspecified,P101,0.08887500000000001,0.11469012147782713,0.023819233643249713,1.0
MAR,55,selection_misspecified,P110,0.057000000000000016,0.05362669780728417,0.011950308079596432,1.0
MAR,55,selection_misspecified,P111,0.233625,0.24964780266833325,0.02633695805841803,1.0
MAR,55,candidate_saturated,M1_class1,0.15,0.11528204243970268,0.05829702230628527,1.0
MAR,55,candidate_saturated,M1_class2,0.8,0.8468144943798587,0.2075110699943359,1.0
MAR,55,candidate_saturated,M2_class1,0.25,0.1842826535987405,0.07264520923841576,1.0
MAR,55,candidate_saturated,M2_class2,0.75,0.6149681374623164,0.5285379196535772,1.0
MAR,55,candidate_saturated,M3_class1,0.2,0.17886126817279913,0.1811521117182335,1.0
MAR,55,candidate_saturated,M3_class2,0.85,0.8347296706644298,0.10140456537290883,1.0
MAR,55,candidate_saturated,p_class2,0.45,0.4848970156312718,0.14254229794729753,1.0
MAR,55,candidate_saturated,mean_Y1,0.44250000000000006,0.4699999452229111,0.022320393614313386,1.0
MAR,55,candidate_saturated,mean_Y2,0.47500000000000003,0.3931207593998987,0.20289422774252125,1.0
MAR,55,candidate_saturated,mean_Y3,0.49250000000000005,0.49688989918784066,0.21280589394132493,1.0
MAR,55,candidate_saturated,P000,0.28387500000000004,0.3099763361036535,0.14515097416273595,1.0
MAR,55,candidate_saturated,P001,0.08925,0.09036293134173272,0.11735569208244331,1.0
MAR,55,candidate_saturated,P010,0.10362500000000001,0.07650986010063185,0.03518037495268871,1.0
MAR,55,candidate_saturated,P011,0.08074999999999999,0.05315092723107091,0.04888748105254009,1.0
MAR,55,candidate_saturated,P100,0.063,0.06590455775493728,0.02343015237277257,1.0
MAR,55,candidate_saturated,P101,0.08887500000000001,0.14063541539977786,0.20371069199295366,1.0
MAR,55,candidate_saturated,P110,0.057000000000000016,0.050719346852936796,0.059572823596107785,1.0
MAR,55,candidate_saturated,P111,0.233625,0.21274062521525916,0.15439307792094378,1.0
MAR,56,oracle,M1_class1,0.15,0.1449372474642241,0.029022146068545564,1.0
MAR,56,oracle,M1_class2,0.8,0.7383109128069691,0.04314287378865202,1.0
MAR,56,oracle,M2_class1,0.25,0.24286923812262204,0.03395977604744099,1.0
MAR,56,oracle,M2_class2,0.75,0.7181824054067701,0.036953653786980234,1.0
MAR,56,oracle,M3_class1,0.2,0.1880988454725844,0.03363009321570428,1.0
MAR,56,oracle,M3_class2,0.85,0.7745516239613274,0.03874015272051126,1.0
MAR,56,oracle,p_class2,0.45,0.45681623100376745,0.039202288016341374,1.0
MAR,56,oracle,mean_Y1,0.44250000000000006,0.41599996884298773,0.02204286722686267,1.0
MAR,56,oracle,mean_Y2,0.47500000000000003,0.4600000077478298,0.022289010718910315,1.0
MAR,56,oracle,mean_Y3,0.49250000000000005,0.4559999934034993,0.0222739309161626,1.0
MAR,56,oracle,P000,0.28387500000000004,0.2931036109770537,0.0200730971607785,1.0
MAR,56,oracle,P001,0.08925,0.0922400246445266,0.01106352032137658,1.0
MAR,56,oracle,P010,0.10362500000000001,0.11093988170336504,0.012793329571591334,1.0
MAR,56,oracle,P011,0.08074999999999999,0.08771651383206697,0.010859630655845548,1.0
MAR,56,oracle,P100,0.063,0.0698237490786233,0.009483507126393358,1.0
MAR,56,oracle,P101,0.08887500000000001,0.0848326075519666,0.010749536479283053,1.0
MAR,56,oracle,P110,0.057000000000000016,0.0701327648374587,0.009502769385738626,1.0
MAR,56,oracle,P111,0.233625,0.1912108473749391,0.016916878902920863,0.0
MAR,56,MAR_ignorability,M1_class1,0.15,0.159575281035821,0.031549154994187874,1.0
MAR,56,MAR_ignorability,M1_class2,0.8,0.7441625887196281,0.04607926431176668,1.0
MAR,56,MAR_ignorability,M2_class1,0.25,0.23007648152460553,0.038457702906443264,1.0
MAR,56,MAR_ignorability,M2_class2,0.75,0.7593397162654347,0.046992748237311976,1.0
MAR,56,MAR_ignorability,M3_class1,0.2,0.2059113062956369,0.0363915870378351,1.0
MAR,56,MAR_ignorability,M3_class2,0.85,0.8052507511479997,0.04843202957142855,1.0
MAR,56,MAR_ignorability,p_class2,0.45,0.43864229515232894,0.0426062998705541,1.0
MAR,56,MAR_ignorability,mean_Y1,0.44250000000000006,0.41599999939516685,0.022042867271270836,1.0
MAR,56,MAR_ignorability,mean_Y2,0.47500000000000003,0.4622337215510687,0.025685606484647308,1.0
MAR,56,MAR_ignorability,mean_Y3,0.49250000000000005,0.468806935961,0.025980525179949848,1.0
MAR,56,MAR_ignorability,P000,0.28387500000000004,0.2936993706249027,0.02161989141038242,1.0
MAR,56,MAR_ignorability,P001,0.08925,0.09654145733203662,0.013093807842876394,1.0
MAR,56,MAR_ignorability,P010,0.10362500000000001,0.10278988964822663,0.014284654916322217,1.0
MAR,56,MAR_ignorability,P011,0.08074999999999999,0.09096928299966711,0.012264366404914075,1.0
MAR,56,MAR_ignorability,P100,0.063,0.07006621411902245,0.010913026848060298,1.0
MAR,56,MAR_ignorability,P101,0.08887500000000001,0.07745923637296952,0.01278248666475943,1.0
MAR,56,MAR_ignorability,P110,0.057000000000000016,0.06463758964684818,0.011495738727094097,1.0
MAR,56,MAR_ignorability,P111,0.233625,0.20383695925632672,0.020543910082122255,1.0
MAR,56,selection_misspecified,M1_class1,0.15,0.1291359999088759,0.03581808741351479,1.0
MAR,56,selection_misspecified,M1_class2,0.8,0.746550850634134,0.046460291447713034,1.0
MAR,56,selection_misspecified,M2_class1,0.25,0.3022716703502096,0.06459066462476822,1.0
MAR,56,selection_misspecified,M2_class2,0.75,0.8084709886309335,0.0431254489318811,1.0
MAR,56,selection_misspecified,M3_class1,0.2,0.2599014326186754,0.05470894671297643,1.0
MAR,56,selection_misspecified,M3_class2,0.85,0.8469943267071449,0.039789553110170135,1.0
MAR,56,selection_misspecified,p_class2,0.45,0.46462073478095356,0.04434658154096463,1.0
MAR,56,selection_misspecified,mean_Y1,0.44250000000000006,0.41599974151751806,0.022042866809302047,1.0
MAR,56,selection_misspecified,mean_Y2,0.47500000000000003,0.5374623695554173,0.04282120080259546,1.0
MAR,56,selection_misspecified,mean_Y3,0.49250000000000005,0.5326769644547367,0.040740351492542015,1.0
MAR,56,selection_misspecified,P000,0.28387500000000004,0.24421281752492877,0.030015189512717824,1.0
MAR,56,selection_misspecified,P001,0.08925,0.10365182468877605,0.01912274875379626,1.0
MAR,56,selection_misspecified,P010,0.10362500000000001,0.11887021061660794,0.023261891828411475,1.0
MAR,56,selection_misspecified,P011,0.08074999999999999,0.1172654056521692,0.016429602265508818,0.0
MAR,56,selection_misspecified,P100,0.063,0.04586619218882731,0.012663750873568268,1.0
MAR,56,selection_misspecified,P101,0.08887500000000001,0.06880679604205059,0.013814176061983529,1.0
MAR,56,selection_misspecified,P110,0.057000000000000016,0.05837381521489934,0.011904513486232289,1.0
MAR,56,selection_misspecified,P111,0.233625,0.24295293807174081,0.023445883835228186,1.0
MAR,56,candidate_saturated,M1_class1,0.15,0.17381927384017537,0.033921411927555885,1.0
MAR,56,candidate_saturated,M1_class2,0.8,0.7276402876824327,0.054434241897904106,1.0
MAR,56,candidate_saturated,M2_class1,0.25,0.21630590434335661,0.04925576222778969,1.0
MAR,56,candidate_saturated,M2_class2,0.75,0.7449152809859808,0.07938963086170268,1.0
MAR,56,candidate_saturated,M3_class1,0.2,0.21555736837583253,0.05323605954899347,1.0
MAR,56,candidate_saturated,M3_class2,0.85,0.7491292712500991,0.07833140773206347,1.0
MAR,56,candidate_saturated,p_class2,0.45,0.4372907716915661,0.04908706585359288,1.0
MAR,56,candidate_saturated,mean_Y1,0.44250000000000006,0.4160000923622616,0.022042866929282093,1.0
MAR,56,candidate_saturated,mean_Y2,0.47500000000000003,0.44746190657880747,0.04401804077485757,1.0
MAR,56,candidate_saturated,mean_Y3,0.49250000000000005,0.4488834375366579,0.054135797908637,1.0
MAR,56,candidate_saturated,P000,0.28387500000000004,0.2934246758835247,0.03523273811230001,1.0
MAR,56,candidate_saturated,P001,0.08925,0.10129502132686956,0.02288180429698992,1.0
MAR,56,candidate_saturated,P010,0.10362500000000001,0.10114112745926228,0.019879196617003297,1.0
MAR,56,candidate_saturated,P011,0.08074999999999999,0.08813908296808178,0.01798254487070848,1.0
MAR,56,candidate_saturated,P100,0.063,0.08049184540186086,0.01566817803908284,1.0
MAR,56,candidate_saturated,P101,0.08887500000000001,0.07732655080893736,0.021767646188216767,1.0
MAR,56,candidate_saturated,P110,0.057000000000000016,0.07605891371869418,0.02024848743008164,1.0
MAR,56,candidate_saturated,P111,0.233625,0.18212278243276922,0.029054076040756677,1.0
MAR,57,oracle,M1_class1,0.15,0.12489669463790108,0.02838861176483965,1.0
