mechanism,rep,method,success,gradient_max,boundary,hessian_min,valid_se,nll,start_nll_range,item_rate,complete_rate,stationary,boundary_parameters
MCAR,0,oracle,True,3.6182675014428954e-08,False,0.005542165139061241,True,1.7357464126992446,4.805045250577678e-13,0.7813333333333333,0.462,True,
MCAR,0,MAR_ignorability,True,2.2330867152975385e-08,False,0.00045352747684150255,True,1.3640259654943307,5.651035195342047e-13,0.7813333333333333,0.462,True,
MCAR,0,selection_misspecified,True,5.6340617348715763e-08,False,3.903393157291009e-05,True,2.6258010837501002,3.3724134596013755e-12,0.7813333333333333,0.462,True,
MCAR,0,candidate_saturated,True,1.3019053534024309e-06,True,1.303396612736529e-06,False,2.622347890496378,4.073186232744774e-12,0.7813333333333333,0.462,True,5
MCAR,1,oracle,True,2.17640211994663e-08,False,0.0059886819360590714,True,1.8040923795245063,3.532729664357248e-13,0.8079999999999999,0.508,True,
MCAR,1,MAR_ignorability,True,2.7053991751180283e-08,False,0.0035908536146831574,True,1.461123119932643,7.769340726326845e-13,0.8079999999999999,0.508,True,
MCAR,1,selection_misspecified,True,4.502836730191362e-08,False,0.0034928678060344785,True,2.660248862631734,8.362199821476679e-13,0.8079999999999999,0.508,True,
MCAR,1,candidate_saturated,True,1.1655444675547953e-07,True,1.1657817337510286e-07,False,2.657567791780439,4.9817927560980024e-12,0.8079999999999999,0.508,True,16
MCAR,2,oracle,True,1.6018961640343333e-08,False,0.0068963169839013775,True,1.7689306477976994,3.423927807943983e-13,0.8006666666666667,0.486,True,
MCAR,2,MAR_ignorability,True,2.3246782529184886e-08,False,0.004579056490472072,True,1.4301348213149778,7.005507285384738e-13,0.8006666666666667,0.486,True,
MCAR,2,selection_misspecified,True,9.093476326449412e-08,False,0.004297236455672342,True,2.6482650992753167,5.3170801095348e-12,0.8006666666666667,0.486,True,
