mechanism,rep,method,success,gradient_max,boundary,hessian_min,valid_se,nll,start_nll_range,item_rate,complete_rate,stationary,boundary_parameters
MCAR,0,oracle,True,1.770764405554237e-08,False,0.006900365019250971,True,1.800943690950685,1.7674750552032492e-13,0.8032,0.4972,True,
MCAR,0,MAR_ignorability,True,1.651690746465595e-08,False,0.0046685334458580335,True,1.461906395114052,5.722089468918057e-13,0.8032,0.4972,True,
MCAR,0,selection_misspecified,True,4.525548311435923e-08,False,0.004659854339388869,True,2.6753632330059705,3.654410107856165e-12,0.8032,0.4972,True,
MCAR,0,candidate_saturated,True,7.761946224924542e-08,False,0.0019777181931153304,True,2.675184574617892,5.112354983793921e-12,0.8032,0.4972,True,
MCAR,1,oracle,True,4.02320734940842e-08,False,0.007642334824764869,True,1.7916049372201488,2.275957200481571e-13,0.7967333333333334,0.4818,True,
MCAR,1,MAR_ignorability,True,2.17289438432966e-08,False,0.004982514639771222,True,1.4416383704898381,1.9539925233402755e-13,0.7967333333333334,0.4818,True,
MCAR,1,selection_misspecified,True,6.13158324894065e-08,False,0.004965743888300256,True,2.6713662566845673,1.2927436898735323e-12,0.7967333333333334,0.4818,True,
MCAR,1,candidate_saturated,True,7.27137096532715e-08,False,0.0021557631484875935,True,2.671359270489779,1.949551631241775e-12,0.7967333333333334,0.4818,True,
MCAR,2,oracle,True,4.549119825454362e-08,False,0.0075322474327302776,True,1.790899862492245,2.0872192862952943e-13,0.7992666666666667,0.4896,True,
MCAR,2,MAR_ignorability,True,8.023206723631556e-09,False,0.004978020020932384,True,1.4472236439314417,6.870060076380469e-13,0.7992666666666667,0.4896,True,
MCAR,2,selection_misspecified,True,5.259181519768896e-08,False,0.004955568841518772,True,2.6703320266592034,1.9984014443252818e-12,0.7992666666666667,0.4896,True,
MCAR,2,candidate_saturated,True,1.9287072811522422e-07,False,0.0022191406796230966,True,2.669660466349069,7.772449350795796e-12,0.7992666666666667,0.4896,True,
MCAR,3,oracle,True,4.5403807801785554e-08,False,0.007947994002108995,True,1.7811785315329,6.334932578511143e-13,0.8030666666666666,0.495,True,
MCAR,3,MAR_ignorability,True,1.8222266256706644e-08,False,0.0052301477273933045,True,1.4456652447109521,9.836575998178887e-14,0.8030666666666666,0.495,True,
MCAR,3,selection_misspecified,True,3.4050429518174144e-08,False,0.0052031044578242066,True,2.6594654938267057,1.3140599719463353e-12,0.8030666666666666,0.495,True,
MCAR,3,candidate_saturated,True,6.58884511651081e-08,False,0.002305905746698174,True,2.659296028137326,5.182521078950231e-12,0.8030666666666666,0.495,True,
MCAR,4,oracle,True,1.1239379585764598e-08,False,0.007754144798889379,True,1.7803431000810752,7.509548538564559e-13,0.7996666666666666,0.4906,True,
MCAR,4,MAR_ignorability,True,3.095025951793673e-09,False,0.005516980168852133,True,1.4322223566112413,2.475797344914099e-13,0.7996666666666666,0.4906,True,
MCAR,4,selection_misspecified,True,7.956009105498651e-08,False,0.005486320864854364,True,2.654392671345696,9.814371537686384e-13,0.7996666666666666,0.4906,True,
MCAR,4,candidate_saturated,True,4.2473579532043e-08,False,0.0020680326730733146,True,2.6543014879756477,4.569233880147294e-12,0.7996666666666666,0.4906,True,
MCAR,5,oracle,True,7.21399957997193e-09,False,0.007335547937119589,True,1.7991309814120453,5.111466805374221e-13,0.7978000000000001,0.4918,True,
MCAR,5,MAR_ignorability,True,2.806057332099543e-08,False,0.004462038885189237,True,1.4493631601969832,3.9257486150745535e-13,0.7978000000000001,0.4918,True,
MCAR,5,selection_misspecified,True,5.5355605490203794e-08,False,0.004397559042424493,True,2.6762513515293085,1.5081269566508126e-12,0.7978000000000001,0.4918,True,
MCAR,5,candidate_saturated,True,5.9108144170849644e-08,False,0.0012540322318992949,True,2.6757455741776335,7.0912165028858e-12,0.7978000000000001,0.4918,True,
MCAR,6,oracle,True,2.8095129131233686e-08,False,0.0074273449238200446,True,1.797618856108594,5.03375119365046e-13,0.8030666666666666,0.4998,True,
MCAR,6,MAR_ignorability,True,9.122983121140135e-09,False,0.00508582337355078,True,1.4464795998150837,5.03375119365046e-13,0.8030666666666666,0.4998,True,
MCAR,6,selection_misspecified,True,8.560166591577989e-08,False,0.005051626196560395,True,2.660266740112785,1.304290009329634e-12,0.8030666666666666,0.4998,True,
MCAR,6,candidate_saturated,True,7.100289462016463e-08,False,0.0018181370154516292,True,2.659566716201196,3.770317391627032e-12,0.8030666666666666,0.4998,True,
MCAR,7,oracle,True,2.025708248588609e-08,False,0.006971345703253608,True,1.8000137629187716,1.8707257964933888e-12,0.8003999999999999,0.493,True,
MCAR,7,MAR_ignorability,True,2.3781474685879988e-08,False,0.004538095106896357,True,1.4537569220717206,1.6209256159527285e-13,0.8003999999999999,0.493,True,
MCAR,7,selection_misspecified,True,2.3725547844939384e-08,False,0.0045353493520583175,True,2.6744108646218763,3.511413382284445e-12,0.8003999999999999,0.493,True,
MCAR,7,candidate_saturated,True,4.544677226903104e-08,False,0.0024485784707699485,True,2.6739599774505254,2.7848834349697427e-12,0.8003999999999999,0.493,True,
MCAR,8,oracle,True,9.66589753670366e-09,False,0.00729546724035865,True,1.788583729201253,1.9317880628477724e-13,0.8019333333333334,0.4966,True,
MCAR,8,MAR_ignorability,True,1.0751004381592167e-08,False,0.005009324143831301,True,1.4393004873735586,4.2010839251815923e-13,0.8019333333333334,0.4966,True,
MCAR,8,selection_misspecified,True,2.6578607983740455e-08,False,0.005021525129387897,True,2.655398388124787,1.6413537196058314e-12,0.8019333333333334,0.4966,True,
MCAR,8,candidate_saturated,True,8.950183538907197e-08,False,0.002147331913105618,True,2.6548807428574537,3.235189893757706e-12,0.8019333333333334,0.4966,True,
MCAR,9,oracle,True,1.159479705810651e-08,False,0.007304467619107814,True,1.7767487752621565,7.136513602290506e-13,0.8009333333333334,0.4988,True,
MCAR,9,MAR_ignorability,True,1.587258505258673e-08,False,0.005192095039007296,True,1.432831110392055,2.8688162956314045e-13,0.8009333333333334,0.4988,True,
MCAR,9,selection_misspecified,True,3.1837915018151366e-08,False,0.00521185263601643,True,2.6520518234151997,2.2324364579162648e-12,0.8009333333333334,0.4988,True,
MCAR,9,candidate_saturated,True,7.069562146568842e-08,False,0.0017572584483296777,True,2.6518577710424407,5.902389688117182e-12,0.8009333333333334,0.4988,True,
MCAR,10,oracle,True,2.026339150089651e-08,False,0.007807016024844319,True,1.7942895385989586,4.718447854656915e-13,0.8002666666666666,0.4884,True,
MCAR,10,MAR_ignorability,True,2.1432514899011324e-08,False,0.006085518466330844,True,1.4349938911384066,1.438849039914203e-13,0.8002666666666666,0.4884,True,
MCAR,10,selection_misspecified,True,3.947696476626745e-08,False,0.006058519237215541,True,2.6556972802339933,9.623413177450857e-13,0.8002666666666666,0.4884,True,
MCAR,10,candidate_saturated,True,7.838705476199692e-08,False,0.0024669462768499182,True,2.6553284745574026,4.711786516509164e-12,0.8002666666666666,0.4884,True,
MCAR,11,oracle,True,1.728119980806053e-08,False,0.0075118991229082745,True,1.792036721760712,1.9739765377835283e-13,0.7971333333333334,0.483,True,
MCAR,11,MAR_ignorability,True,6.857847637303296e-09,False,0.005106703025812931,True,1.4383887851026447,1.1455281168082365e-12,0.7971333333333334,0.483,True,
MCAR,11,selection_misspecified,True,5.585937113514738e-08,False,0.005072082386287084,True,2.6669939877598017,1.5307755063531658e-12,0.7971333333333334,0.483,True,
MCAR,11,candidate_saturated,True,5.390865470786821e-08,False,0.0022797742231360166,True,2.6668248345355505,3.836930773104541e-12,0.7971333333333334,0.483,True,
MCAR,12,oracle,True,1.4913251377989945e-08,False,0.006729322964862698,True,1.8092140023902372,2.1738166822160565e-13,0.8001333333333333,0.4872,True,
MCAR,12,MAR_ignorability,True,3.703176811378217e-08,False,0.004611283862054075,True,1.4628409423141493,5.209166431541234e-13,0.8001333333333333,0.4872,True,
MCAR,12,selection_misspecified,True,1.2593469394664992e-07,False,0.004617205087809091,True,2.684141208498714,4.827249711070181e-13,0.8001333333333333,0.4872,True,
MCAR,12,candidate_saturated,True,4.43185877013974e-08,False,0.0020664785281156745,True,2.683658959818486,3.955058502924658e-12,0.8001333333333333,0.4872,True,
MCAR,13,oracle,True,1.523969283805573e-08,False,0.006732936749903514,True,1.7870946619976327,3.7903014060702844e-13,0.7977333333333334,0.4858,True,
MCAR,13,MAR_ignorability,True,7.12193479839307e-09,False,0.004589938005275759,True,1.4356376330365388,4.629630012686903e-13,0.7977333333333334,0.4858,True,
MCAR,13,selection_misspecified,True,8.529960952226024e-08,False,0.004630447324524377,True,2.6626929348940522,1.2678746941219288e-12,0.7977333333333334,0.4858,True,
MCAR,13,candidate_saturated,True,8.56747712532524e-08,False,0.0022970792804605,True,2.662348799798713,1.4299672557172016e-12,0.7977333333333334,0.4858,True,
MCAR,14,oracle,True,1.506915125837338e-08,False,0.007209067283446423,True,1.8077800394576042,3.9013237085328e-13,0.7991333333333334,0.4886,True,
MCAR,14,MAR_ignorability,True,2.06943006899607e-08,False,0.004717407580514083,True,1.4560769865783372,1.8740564655672642e-13,0.7991333333333334,0.4886,True,
MCAR,14,selection_misspecified,True,8.383493093598315e-08,False,0.004694743084708666,True,2.679962983318871,1.6573409311604337e-12,0.7991333333333334,0.4886,True,
MCAR,14,candidate_saturated,True,6.295227719630425e-08,False,0.0013516441828523773,True,2.6784539431985124,4.745537296457769e-12,0.7991333333333334,0.4886,True,
MCAR,15,oracle,True,2.141342973791885e-08,False,0.006645668051866727,True,1.8085057793694848,2.469136006766348e-13,0.8008666666666667,0.4948,True,
MCAR,15,MAR_ignorability,True,2.8922757779206763e-08,False,0.004064595936642129,True,1.4567232091005287,3.270717030545711e-13,0.8008666666666667,0.4948,True,
MCAR,15,selection_misspecified,True,7.638104923908263e-08,False,0.0040814114999430445,True,2.675808815772101,1.3140599719463353e-12,0.8008666666666667,0.4948,True,
MCAR,15,candidate_saturated,True,7.803629872036311e-08,False,0.0024066456969662666,True,2.675660520179317,4.718003765447065e-12,0.8008666666666667,0.4948,True,
MCAR,16,oracle,True,2.5556135070958773e-08,False,0.007205139758903824,True,1.79400690041442,1.13464793116691e-13,0.805,0.4974,True,
MCAR,16,MAR_ignorability,True,2.0998769075286638e-08,False,0.0052125987651267846,True,1.4570401342138757,8.504308368628699e-13,0.805,0.4974,True,
MCAR,16,selection_misspecified,True,4.34233857553451e-08,False,0.005178162075194661,True,2.6655845742151665,1.581845765485923e-12,0.805,0.4974,True,
MCAR,16,candidate_saturated,True,6.351959049961664e-08,False,0.00225418240431889,True,2.6649413123455044,7.254197242900773e-12,0.805,0.4974,True,
MCAR,17,oracle,True,3.0792272479979176e-08,False,0.005808743397350394,True,1.7989601851243915,8.992806499463768e-14,0.8043333333333332,0.5002,True,
MCAR,17,MAR_ignorability,True,2.5436768537945298e-08,False,0.004922388461234259,True,1.4545017597196594,3.3597569171206487e-12,0.8043333333333332,0.5002,True,
MCAR,17,selection_misspecified,True,4.128788047026433e-08,False,0.0049321613542571705,True,2.664798630481181,6.59916565837193e-13,0.8043333333333332,0.5002,True,
