mechanism,rep,method,parameter,truth,estimate,se,covered
MCAR,0,oracle,M1_class1,0.15,0.1555039481304272,0.00961561509053229,1.0
MCAR,0,oracle,M1_class2,0.8,0.8113360051668494,0.012552052769134436,1.0
MCAR,0,oracle,M2_class1,0.25,0.25749333225665355,0.010150173370336357,1.0
MCAR,0,oracle,M2_class2,0.75,0.7487606920219954,0.011603778057577284,1.0
MCAR,0,oracle,M3_class1,0.2,0.21451680940656928,0.010599916875640951,1.0
MCAR,0,oracle,M3_class2,0.85,0.8598040781001264,0.011331222024452645,1.0
MCAR,0,oracle,p_class2,0.45,0.4374535555866452,0.011468169475447819,1.0
MCAR,0,oracle,mean_Y1,0.44250000000000006,0.44240001334871365,0.007023990890615139,1.0
MCAR,0,oracle,mean_Y2,0.47500000000000003,0.472399985529666,0.007060286679542937,1.0
MCAR,0,oracle,mean_Y3,0.49250000000000005,0.49680001947136077,0.007070922988614578,1.0
MCAR,0,oracle,P000,0.28387500000000004,0.2799793892485688,0.006177996610349567,1.0
MCAR,0,oracle,P001,0.08925,0.09349717105090308,0.0036394628726107363,1.0
MCAR,0,oracle,P010,0.10362500000000001,0.1047493492559891,0.003983050445514594,1.0
MCAR,0,oracle,P011,0.08074999999999999,0.07937407709582547,0.003351199560229244,1.0
MCAR,0,oracle,P100,0.063,0.06352091512424154,0.0030019413971758215,1.0
MCAR,0,oracle,P101,0.08887500000000001,0.09060253904662069,0.003745945788846321,1.0
MCAR,0,oracle,P110,0.057000000000000016,0.05495032689983989,0.0028186928909841695,1.0
MCAR,0,oracle,P111,0.233625,0.23332623227801147,0.005889849337310489,1.0
MCAR,0,MAR_ignorability,M1_class1,0.15,0.15520729562861296,0.011132281828913486,1.0
MCAR,0,MAR_ignorability,M1_class2,0.8,0.8120026966366115,0.014546702830262308,1.0
MCAR,0,MAR_ignorability,M2_class1,0.25,0.25949711475338055,0.012708318047414355,1.0
MCAR,0,MAR_ignorability,M2_class2,0.75,0.7531195226369146,0.014165571579694143,1.0
MCAR,0,MAR_ignorability,M3_class1,0.2,0.22039234221347756,0.0129939538315731,1.0
MCAR,0,MAR_ignorability,M3_class2,0.85,0.8520427529085756,0.014199907918156054,1.0
MCAR,0,MAR_ignorability,p_class2,0.45,0.4372635946118712,0.01376942735157024,1.0
MCAR,0,MAR_ignorability,mean_Y1,0.44250000000000006,0.4424000135979158,0.007023990890399016,1.0
MCAR,0,MAR_ignorability,mean_Y2,0.47500000000000003,0.4753402232055019,0.008226770147225932,1.0
MCAR,0,MAR_ignorability,mean_Y3,0.49250000000000005,0.49659007133208083,0.008111294994774277,1.0
MCAR,0,MAR_ignorability,P000,0.28387500000000004,0.2774494445645647,0.006995661810373378,1.0
MCAR,0,MAR_ignorability,P001,0.08925,0.09487703184108409,0.004373952150673825,1.0
MCAR,0,MAR_ignorability,P010,0.10362500000000001,0.10533534654677176,0.004828433390956357,1.0
MCAR,0,MAR_ignorability,P011,0.08074999999999999,0.07993816344966352,0.003779330322648294,1.0
MCAR,0,MAR_ignorability,P100,0.063,0.06339150794559259,0.003368047850554423,1.0
MCAR,0,MAR_ignorability,P101,0.08887500000000001,0.08894179244325659,0.004415960977115291,1.0
MCAR,0,MAR_ignorability,P110,0.057000000000000016,0.05723362961099,0.0034947691141618397,1.0
MCAR,0,MAR_ignorability,P111,0.233625,0.23283308359807664,0.006537327147831903,1.0
MCAR,0,selection_misspecified,M1_class1,0.15,0.15538973275633708,0.011244854208010994,1.0
MCAR,0,selection_misspecified,M1_class2,0.8,0.812202014676838,0.01457877659959163,1.0
MCAR,0,selection_misspecified,M2_class1,0.25,0.2562425549786755,0.015565255752664663,1.0
MCAR,0,selection_misspecified,M2_class2,0.75,0.7499156070000182,0.01705769000225552,1.0
MCAR,0,selection_misspecified,M3_class1,0.2,0.2209401641783667,0.014732268581585878,1.0
MCAR,0,selection_misspecified,M3_class2,0.85,0.8526282282340442,0.015216934176148318,1.0
MCAR,0,selection_misspecified,p_class2,0.45,0.43697451564301115,0.013912940503492191,1.0
MCAR,0,selection_misspecified,mean_Y1,0.44250000000000006,0.44239996151692884,0.007023990895053425,1.0
MCAR,0,selection_misspecified,mean_Y2,0.47500000000000003,0.4719650977717088,0.012851661388540605,1.0
MCAR,0,selection_misspecified,mean_Y3,0.49250000000000005,0.4969717500065678,0.010794667936386932,1.0
MCAR,0,selection_misspecified,P000,0.28387500000000004,0.2785656637640552,0.008285158097882274,1.0
MCAR,0,selection_misspecified,P001,0.08925,0.09564125727658476,0.005439151866896503,1.0
MCAR,0,selection_misspecified,P010,0.10362500000000001,0.10399995496660898,0.006154643862235671,1.0
MCAR,0,selection_misspecified,P011,0.08074999999999999,0.07939316247582223,0.004404370951292613,1.0
MCAR,0,selection_misspecified,P100,0.063,0.0637739288833415,0.003888155977124407,1.0
MCAR,0,selection_misspecified,P101,0.08887500000000001,0.09005405230430973,0.005547927931212703,1.0
MCAR,0,selection_misspecified,P110,0.057000000000000016,0.05668870237942655,0.0041438064157904705,1.0
MCAR,0,selection_misspecified,P111,0.233625,0.23188327794985103,0.00746837723890668,1.0
MCAR,0,candidate_saturated,M1_class1,0.15,0.15886522521441324,0.012814107182627094,1.0
MCAR,0,candidate_saturated,M1_class2,0.8,0.8123014807751214,0.01643132766024896,1.0
MCAR,0,candidate_saturated,M2_class1,0.25,0.2507505286750377,0.023032385211757805,1.0
MCAR,0,candidate_saturated,M2_class2,0.75,0.7476404278969966,0.024022989741653802,1.0
MCAR,0,candidate_saturated,M3_class1,0.2,0.214485508659185,0.020336015019251318,1.0
MCAR,0,candidate_saturated,M3_class2,0.85,0.8380811386170276,0.021953717105639228,1.0
MCAR,0,candidate_saturated,p_class2,0.45,0.4339134008353844,0.014266567632057959,1.0
MCAR,0,candidate_saturated,mean_Y1,0.44250000000000006,0.4423999730938995,0.007023990909957029,1.0
MCAR,0,candidate_saturated,mean_Y2,0.47500000000000003,0.4663577146871893,0.018871989792720627,1.0
MCAR,0,candidate_saturated,mean_Y3,0.49250000000000005,0.4850720092002764,0.01559195935592025,1.0
MCAR,0,candidate_saturated,P000,0.28387500000000004,0.2835673280361426,0.012311709392650912,1.0
MCAR,0,candidate_saturated,P001,0.08925,0.09374504778531409,0.007963517928029983,1.0
MCAR,0,candidate_saturated,P010,0.10362500000000001,0.10364688799682298,0.0093038752865333,1.0
MCAR,0,candidate_saturated,P011,0.08074999999999999,0.07664076308782078,0.006014952026971633,1.0
MCAR,0,candidate_saturated,P100,0.063,0.06733132677590098,0.005120165946330579,1.0
MCAR,0,candidate_saturated,P101,0.08887500000000001,0.08899858271545297,0.007664829054127454,1.0
MCAR,0,candidate_saturated,P110,0.057000000000000016,0.060382447990856986,0.006362299301010489,1.0
MCAR,0,candidate_saturated,P111,0.233625,0.2256876156116886,0.010624617625371606,1.0
MCAR,1,oracle,M1_class1,0.15,0.14373310339950693,0.009536842328541337,1.0
MCAR,1,oracle,M1_class2,0.8,0.7989652410241999,0.011831526472276763,1.0
MCAR,1,oracle,M2_class1,0.25,0.26454129681817173,0.010181167292649895,1.0
MCAR,1,oracle,M2_class2,0.75,0.7456942853656539,0.011136626383123693,1.0
MCAR,1,oracle,M3_class1,0.2,0.20586820648531323,0.010982720378762982,1.0
MCAR,1,oracle,M3_class2,0.85,0.8655268227416572,0.010173125247498874,1.0
MCAR,1,oracle,p_class2,0.45,0.46650167327737535,0.011057359416787387,1.0
MCAR,1,oracle,mean_Y1,0.44250000000000006,0.4493999919865377,0.0070347656710719585,1.0
