mechanism,method,parameter,bias,RMSE,SD,estimated_SE,coverage_valid,valid_CI,SD_valid,CI_failure_rate,covered_and_available,bias_MCSE,replications
MAR,MAR_ignorability,M1_class1,-0.006897749763814825,0.02711298480466686,0.026352984482315094,0.025838616908174267,0.95,100,0.026352984482315094,0.0,0.95,0.0026352984482315095,100
MAR,MAR_ignorability,M1_class2,-0.0005150830864130463,0.03164142772264976,0.031796617534068594,0.030786434828968316,0.95,100,0.031796617534068594,0.0,0.95,0.0031796617534068593,100
MAR,MAR_ignorability,M2_class1,-0.00014150201186821336,0.028211968300201548,0.028353738330694052,0.02739948326241989,0.94,100,0.028353738330694052,0.0,0.94,0.002835373833069405,100
MAR,MAR_ignorability,M2_class2,-0.0037621502046697587,0.0305988507047519,0.030519672249739407,0.03322272656561733,0.95,100,0.030519672249739407,0.0,0.95,0.0030519672249739406,100
MAR,MAR_ignorability,M3_class1,-0.0025519093034955644,0.028551069956675165,0.028580055109787252,0.02877888873864895,0.95,100,0.028580055109787252,0.0,0.95,0.0028580055109787253,100
MAR,MAR_ignorability,M3_class2,-0.0029356260129482416,0.03535740269373722,0.035412832593313084,0.03208094784282214,0.93,100,0.035412832593313084,0.0,0.93,0.0035412832593313083,100
MAR,MAR_ignorability,P000,-0.001676335918532322,0.01573356391941612,0.01572281786162035,0.015412735537551021,0.95,100,0.01572281786162035,0.0,0.95,0.0015722817861620352,100
MAR,MAR_ignorability,P001,-0.0006507131910822955,0.008751870538590455,0.008771614588667258,0.009377257997353195,0.96,100,0.008771614588667258,0.0,0.96,0.0008771614588667258,100
MAR,MAR_ignorability,P010,-6.13709099680014e-05,0.010704981435231825,0.010758734348795273,0.010459923227767357,0.93,100,0.010758734348795273,0.0,0.93,0.0010758734348795273,100
MAR,MAR_ignorability,P011,0.0004984178196616912,0.00818281419436365,0.008208767659115239,0.008442886859880849,0.95,100,0.008208767659115239,0.0,0.95,0.0008208767659115239,100
MAR,MAR_ignorability,P100,-0.0018773912122798137,0.007772476648052028,0.007580330439785058,0.007702120360300138,0.95,100,0.007580330439785058,0.0,0.95,0.0007580330439785058,100
MAR,MAR_ignorability,P101,0.0014960085224134498,0.010068777266507851,0.010007180964284145,0.010548142276360958,0.95,100,0.010007180964284145,0.0,0.95,0.0010007180964284146,100
MAR,MAR_ignorability,P110,0.0006031785233611122,0.008366371667189764,0.008386638636468042,0.008117791252404756,0.94,100,0.008386638636468042,0.0,0.94,0.0008386638636468042,100
MAR,MAR_ignorability,P111,0.0016682063664261253,0.014693328317056277,0.014671864938017164,0.01510369975940703,0.95,100,0.014671864938017164,0.0,0.95,0.0014671864938017164,100
